[    0.04s ->     6.44s] Hey guys, welcome to today's video. I am going and doing a video with Jeff who is inside our
[    6.44s ->    11.68s] program because I want to share with you that you don't just have to follow this algo systematic
[   11.68s ->    16.46s] approach. You can actually add your own type of charting flair to it and I'm really excited to
[   16.46s ->    20.00s] see what he has here. He's been posting a lot of great stuff in the chat where he's using a lot of
[   20.00s ->    26.44s] levels, support levels and Fibonacci levels. Anyways, this video is not about me talking,
[   26.44s ->    31.18s] it's about Jeff. So Jeff, thank you so much for being on this video and doing this with me. I'm
[   31.18s ->    37.64s] so excited. To get started, let's start off with some basic questions and then we'll get into the
[   37.64s ->    44.22s] charting. So what brought you to trading in the first place? Just kind of like a side job, you
[   44.22s ->    49.40s] know, just kind of for some reason I love trading. So just before COVID, I kind of got a little more
[   49.40s ->    54.64s] serious about it and then plus we had time at home. But then I started going down the Twitter route
[   54.64s ->    60.12s] and you see all these profits and I went through some of the discords. I never went big. So I was
[   60.12s ->    66.68s] always cautious, but it was just this endless kind of like continuation that finally somehow I think
[   66.68s ->    71.82s] maybe through Twitter is that I found out more about credit spreads. And that's where it really
[   71.82s ->    77.62s] changed the whole game for me because I came from kind of day trading and just buying like spy options
[   77.62s ->    82.94s] or the call outs, you know, on different groups and it worked. You can make good money. That's really
[   82.94s ->    89.46s] kind of like the hook was like consistent $300 days just trading spy options, but it takes a lot
[   89.46s ->    96.12s] of work. And so the next level I got to, and when you read Mark Douglas's book, you see that selling
[   96.12s ->   103.22s] options and even chat GPT, I asked it, is the way that the majority make their profits, you know,
[  103.26s ->   107.76s] in options. When you understand options, it's a little complicated, but once your brain gets it,
[  107.76s ->   112.60s] it's like magic. The light bulb goes on in your head and you're like, all I want to do is basically
[  112.60s ->   119.00s] sell premium and stay as far away from the stock as possible. And that's the whole idea. And then
[  119.00s ->   124.10s] it didn't, I wasn't up at six 30 in the morning, sweating bullets online trading because I'm over
[  124.10s ->   129.38s] here in California. So it's early. It's hard to get your brain up and running that early. So credit
[  129.38s ->   135.82s] spreads much more kickback, much more like a swing trade where you just kind of watch it and you have
[  135.82s ->   140.86s] to check in that really hands off kind of work to it. So that's where I've kind of landed as,
[  141.04s ->   145.38s] as my home plate here. So. Yeah, that's awesome. I mean, a lot of people have different backgrounds
[  145.38s ->   148.96s] when they're coming into, especially selling options. That's typically not what the stuff is
