[    0.46s ->     6.06s] Brownian motion is the most important mathematical object in all of quantitative
[    6.06s ->    13.02s] finance and financial engineering. It's hard to understate that. How many institutions use it to
[   13.02s ->    19.72s] power their risk engines, their pricing models, so on and so forth. We better have a perfect
[   19.72s ->    26.10s] understanding of the dynamics of that process if we have any hope to build more sophisticated
[   26.10s ->    31.10s] models. And that is exactly the purpose of this video. I'm going to walk you from theory
[   31.10s ->    36.94s] to practice. Everything you need to know about Brownian motion. We'll talk about the idea of a
[   36.94s ->    44.02s] random variable, a normal or Gaussian distribution, stochastic processes, the definition of Brownian
[   44.02s ->    51.82s] motion to fully understand how the process works. Then we'll move away from the lab into practice.
[   51.82s ->    59.46s] We'll bridge that gap and see exactly how it's applied in industry to price European options.
[   59.58s ->    64.80s] Unlike with Brownian motion, the probability and statistics of sample paths in practice
[   64.80s ->    71.80s] do not converge. But you know what does converge to a probability of one? Your access to a Jupyter
[   71.80s ->    75.50s] notebook with a new Quant Guild video. This Jupyter notebook will be linked in the description below.
[   75.78s ->    79.78s] I will also post it to the Quant Guild library on GitHub, where you can find all of my Jupyter
[   79.78s ->    84.74s] notebooks and associated YouTube videos, along with all of the source code for my Quant builds.
[   84.96s ->    88.20s] At the top of this Jupyter notebook, you'll notice some related Quant Guild videos applying
[   88.20s ->    93.56s] probability and statistics to finance and trading. This idea of time series analysis, stochastic
[   93.56s ->    98.54s] differential equations, finite differences for solving partial differential equations numerically,
[   98.54s ->   105.02s] the infamous Arch and Garch models, Markov chains and hidden Markov models specifically for
[  105.02s ->   109.92s] modeling latent volatility processes. If you're unfamiliar with any of these ideas,
[  110.16s ->   114.94s] I highly recommend you check these videos out first before tackling one like this.
[  115.08s ->   118.40s] Moreover, these videos certainly take a lot of effort to create. So if you'd like to help support
[  118.40s ->   122.42s] the channel so I can continue to create videos just like this one, please like, comment, subscribe,
[  122.54s ->   127.04s] share. It helps me out tremendously. It is always greatly appreciated. And if you'd like to master
[  127.04s ->   133.00s] your quantitative skills, check out quantguild.com. We have an absolutely massive update to the
[  133.00s ->   138.08s] platform with the release of our first course, Quant Coding, where I take you through everything
[  138.08s ->   143.92s] you need to know about Python from A to Z to build a trading system with interactive brokers and their
[  143.92s ->   152.10s] Python API. And this isn't a one off course. This is included with Quant Guild membership. What's also
[  152.10s ->   157.68s] included? An adaptive practice engine that scales with your skill levels so you can progress to more
[  157.68s ->   164.20s] more difficult topics, over 90 lessons in math, probability, finance, interview questions with
[  164.20s ->   170.22s] fully worked solutions, trading games, so you can apply what you learn, all of the math, probability,
[  170.36s ->   177.32s] and statistics to the real world. This is the platform that I wish that I had when I was studying
[  177.32s ->   184.14s] to become a quant and everything is included with membership and you can get started right now for free.
[  184.14s ->   191.16s] So if you'd like to help support the channel and master your quantitative skills, check out quantguild.com.
[  191.20s ->   195.96s] Without further ado, let's get started by discussing this idea of a random variable. What is a random
[  195.96s ->   202.14s] variable anyway? Well, effectively, it's just a distribution. It's a set of possible outcomes, each with an
[  202.14s ->   209.76s] associated probability or likelihood of occurring. They are fully specified by their distribution function,
[  209.76s ->   215.30s] their mass or density function, depending on if we're dealing with a discrete or continuous random
[  215.30s ->   221.44s] variable, or their characteristic function. The reason why all of these are equivalent is because
[  221.44s ->   228.64s] we're applying simply just operations to go back and forth between all of these different objects.
[  228.64s ->   236.60s] If I have a probability density function and I integrate, I get the distribution function. If I take the
[  236.60s ->   242.42s] derivative, I get back the density function. Those are unique operations. Moreover, if I take the
[  242.42s ->   248.72s] Fourier transform of the density function, I get the characteristic function. So the reason why all
[  248.72s ->   254.62s] three of these are equivalent statements for a specific random variable is because the operations
[  254.62s ->   261.08s] that we're performing on these objects yield unique objects themselves. So we can effectively just go
[  261.08s ->   266.84s] back and forth between a distribution or density function and the density function and the characteristic
[  266.84s ->   274.76s] function. So we can effectively define a random variable in terms of any of these objects. Let's take
[  274.76s ->   281.80s] a look at an example of a random variable now. This is a normal random variable. This is the probability
[  281.80s ->   289.80s] density function here. And it's important to note that we can't predict the outcome of any one draw of this
[  289.80s ->   295.40s] random variable. That's not the purpose of random variables. Instead, we can say something about the
[  295.40s ->   302.28s] probability or likelihood of an occurrence or a range of occurrences. So what you'll see here on the
[  302.28s ->   310.20s] right is this is a histogram. These bars here represent draws from this distribution. I have 500 draws on the
[  310.20s ->   317.48s] right here and you can see it's starting to effectively map out the original normal distribution that all of the
[  317.48s ->   324.04s] data was drawn from. And as we're going to see later on, this will actually converge as the number of
[  324.04s ->   330.76s] samples approaches infinity. But in any case, if we're looking at this probability density function, if we
[  330.76s ->   337.32s] look at a specific point, are we looking at a probability? Well, no, this is a continuous random
[  337.32s ->   343.56s] variable. This is a normal distribution or a Gaussian. If I look at a point on this chart, what I'm really
[  343.56s ->   351.00s] looking at is a relative likelihood of a realization around that point. So if I said, okay, what is the
[  351.00s ->   357.56s] likelihood of observing a value near this point here in the center versus this point here out in the
[  357.56s ->   362.84s] tail? Well, you would tell me, hey, there's a lot more mass underneath the point in the center than there
[  362.84s ->   369.96s] is out in the tail. So it's likely we're going to see a value near the point in the middle relative to the
[  369.96s ->   375.48s] point in the tail. So it's not a probability. If we were dealing with a discrete random variable,
[  375.48s ->   380.60s] think of something like a coin flip or a dice roll, we would actually get a probability of a
[  380.60s ->   386.04s] specific outcome. But when we're dealing with a continuous random variable, we don't have that
[  386.04s ->   391.88s] notion. And that's because effectively the sample space is infinite, right? The probability of any
[  391.88s ->   397.80s] one draw is effectively zero, but that doesn't mean that it can't occur. All it means is that we're
[  397.80s ->   403.16s] looking at a probability density function in a relative sense. So we're looking at it as,
[  403.16s ->   409.88s] hey, what's the relative likelihood of draws near say this point relative to this point. That's how we
[  409.88s ->   415.24s] can interpret the density function in a continuous sense. So again, on the right here, we see the
[  415.24s ->   422.04s] empirical distribution. These are draws from this normal distribution. And if we effectively draw towards
[  422.04s ->   429.40s] infinity, it will then converge to this theoretical distribution. How is the normal random variable
[  429.40s ->   435.32s] defined? Well, it's defined in terms of its probability density function, its PDF or its cumulative
[  435.32s ->   441.56s] distribution function, its CDF. Effectively, we just integrate or differentiate to go back and forth.
[  441.56s ->   447.80s] And I have two charts here to help us visualize exactly what these look like. So on the left here,
[  447.80s ->   453.80s] I have the PDF. We just saw this above. And now I have this slider, this vertical line. And this is
[  453.80s ->   461.32s] precisely what I just mentioned. The PDF is not a probability. It is giving us the relative likelihood of
[  461.32s ->   469.00s] points around that value. So if I said, hey, what's the relative likelihood of points around zero relative
[  469.00s ->   475.48s] to negative two? Well, if you go up and over on this PDF, you can see that there's far more mass
[  475.48s ->   482.52s] underneath zero than there is negative two. So it's more likely we're going to observe points around
[  482.52s ->   487.96s] zero than we are negative two. That's how we interpret the PDF. It is not a probability.
[  487.96s ->   494.68s] If we want probabilities, we have to integrate the area underneath this curve. And that's what you're
[  494.68s ->   501.40s] seeing on the right here with the CDF. If I integrate, say, from negative infinity all the way up to
[  501.40s ->   509.64s] zero, I'm going to get a probability of 50%. And that's because the normal distribution is symmetric.
[  509.64s ->   517.24s] If I go all the way up to positive infinity, I will get a probability of one. That is effectively saying
[  517.24s ->   523.48s] the draw from this entire sample space is going to exist in the sample space. No kidding. That's how
[  523.48s ->   530.12s] the random variable is defined. So if I integrate, I can get a specific probability of a draw being within
[  530.12s ->   536.76s] a region. So if I wanted the probability of a draw being less than negative two, I would get roughly
[  536.76s ->   543.80s] two point four percent. And that is effectively found by simply integrating the probability density
[  543.80s ->   548.92s] function. We can also define the normal random variable in terms of its characteristic function.
[  548.92s ->   554.60s] And to do this, all we're doing is taking the Fourier transform of the PDF, and that's a unique
[  554.60s ->   561.00s] operation. So here I have the probability density function. I take the Fourier transform. I get the
[  561.00s ->   567.96s] characteristic function. If I apply the inverse Fourier transform, I just get back out the original
[  567.96s ->   575.00s] density function. And that's what you're seeing in this visualization. I have the original PDF here for
[  575.00s ->   582.04s] our normal random variable. I take the Fourier transform. I get the characteristic function. I have the real
[  582.04s ->   590.04s] and the imaginary part. Then if I take the inverse Fourier transform, I get back out the original PDF.
[  590.04s ->   596.92s] So all of these are equivalent. We can define the random variable or any random variable in terms of its
[  596.92s ->   604.12s] distribution, its mass or density function, or its characteristic function. All random variables have
[  604.12s ->   610.92s] accompanying statistics. And these statistics converge with probabilistic certainty. We'll see what that means
[  610.92s ->   617.16s] in a moment. But first, let's start by defining these statistics. We have this idea of a mean,
[  617.16s ->   625.40s] average, or expected value, and this idea of variance. The mean is effectively just the probability
[  625.40s ->   633.40s] weighted sum or integral of all possible outcomes. It's going to be your best guess for what that random
[  633.40s ->   642.20s] variable is going to be. If I told you to guess 10,000 times what the output of a normal random variable
[  642.20s ->   649.88s] would be, then the value that you should guess to minimize your error on average is going to be the
[  649.88s ->   658.52s] expectation. Again, we can't predict anything. We can't predict the draw of any one value. But statistically, we can
[  658.52s ->   665.64s] minimize our error by guessing the expectation. Now, what about our error? On average, how far away
[  665.64s ->   672.28s] are we from whatever value we draw? Well, that is going to be based on the spread of our distribution.
[  672.28s ->   681.48s] We can measure that with variance. Variance is defined as the expected or average deviation away from
[  681.48s ->   688.20s] the mean value. It's a measure of spread or distance. Specifically, it's the expected square deviation
[  688.20s ->   693.96s] away from the mean, but you should think of it as a distance measure. Effectively, we're saying,
[  693.96s ->   702.68s] hey, on any given draw, on average, how far away are we from the mean value that we compute above?
[  702.68s ->   707.88s] There are other statistics of interest, but we're going to focus on mean and variance because that is
[  707.88s ->   714.52s] going to dictate the center and spread of a normal distribution. Random variable x here follows a
[  714.52s ->   722.12s] normal distribution, and we define it in terms of a mu and a sigma. That dictates the expectation and
[  722.12s ->   727.88s] variance, respectively. If we take a look at this chart, we can see a few different normal or gaussian
[  727.88s ->   734.84s] distributions, each with a different parameterization. This blue one is known as a standard normal
[  734.84s ->   740.36s] distribution. It has a mean of zero, a variance of one. That's what makes it standard normal,
[  740.36s ->   745.80s] effectively standardized. And if we look at the other distributions, we can see they have different
[  745.80s ->   753.72s] spreads, different variances, and different centers based on the mean. That is exactly what the mean
[  753.72s ->   759.48s] and variance dictate. Keep in mind, here we're looking at the mean and variance of the data generating
[  759.48s ->   766.12s] distribution. These are population distributions. We're actually going to observe draws that look
[  766.12s ->   774.68s] like this histogram. What's the relationship between the population mean and variance and the empirical
[  774.68s ->   781.24s] mean and variance? Well, this gets into the idea of the law of large numbers. And I have a great
[  781.24s ->   787.40s] animation here to explain exactly what's going on. The law of large numbers is effectively telling us
[  787.40s ->   795.88s] as we continue to sample from the same distribution and compute these sample statistics. If we have a
[  795.88s ->   803.96s] large enough sample size, as that sample size approaches infinity, we are going to converge to those
[  803.96s ->   813.40s] population values. My sample mean is going to converge to my population mean. My sample variance will converge
[  813.40s ->   819.40s] to my population variance, as is the case with the other statistical moments. Because remember,
[  819.40s ->   826.68s] take a look at the definition of variance. It's in terms of the expectation. Well, if the expectation
[  826.68s ->   833.32s] converges to a single value, then the variance is going to converge to a single value. And as is the
[  833.32s ->   840.20s] case with the higher order moments as well, if we take a look at skewness, kurtosis, so on and so forth.
[  840.20s ->   846.68s] What you see in this animation here is I'm effectively drawing from the same normal distribution
[  846.68s ->   852.68s] and I'm taking the mean and I'm taking the variance. And what you see here is this horizontal line in
[  852.68s ->   860.76s] both cases is representing the theoretical value, the population value for each of those objects.
[  860.76s ->   866.76s] And as we continue to draw more samples, you see this convergence. That's not happening by accident.
[  866.76s ->   873.96s] That's happening thanks to the law of large numbers. This ensures statistical convergence.
[  873.96s ->   878.44s] This is the strong law of large numbers. This is almost short convergence. We also have
[  878.44s ->   884.28s] probabilistic convergence, but we're not going to focus too much on the technical details.
[  884.28s ->   890.20s] We can just say, thanks to the law of large numbers, if we repeatedly sample from the same distribution
[  890.20s ->   897.40s] and we record sample statistics, that is the mean and the variance, those will converge to the population value.
[  897.40s ->   903.64s] This is where things get really cool because the law of large numbers doesn't just work for the mean and the variance.
[  903.64s ->   908.76s] It also works for probabilities. And that's thanks to this idea of a Bernoulli random variable.
[  908.76s ->   919.96s] We can represent any event as an indicator function and we can model it as a Bernoulli random variable if we just look at one draw from a population distribution.
[  919.96s ->   929.00s] And if we continue to draw and continue to observe the outcome of that indicator function, take the average, that's actually a probability.
[  929.00s ->   946.12s] That's exactly what a Bernoulli random variable's mean represents. And effectively, what I'm showing you here is how you can prove that the empirical distribution is going to converge to the population or theoretical distribution if you have enough draws.
[  946.12s ->   955.48s] This is, again, thanks to the law of large numbers. And that is an incredibly cool result and an incredibly cool idea.
[  955.48s ->   965.00s] This doesn't just work for mean and variance. If you wanted to determine the probability of a specific event based on one or multiple random variables,
[  965.00s ->   973.32s] you could just use an indicator function and the law of large numbers to estimate the probability of that event occurring.
[  973.32s ->   980.12s] And we use that idea here to prove that this empirical distribution will in fact converge to the theoretical one.
