[    0.46s ->     7.07s] In this video and Jupyter Notebook, we're going to walk through how to trade option implied
[    7.07s ->    12.81s] volatility. I've broken it down into three key components. The first being understanding what
[   12.81s ->    18.91s] volatility even is, different measures of volatility and how we might be able to develop
[   18.91s ->    25.47s] an aggregate measure of volatility using all of these different ways to represent this notion
[   25.47s ->    32.53s] of dispersion. The second being understanding the impact of volatility on an options price.
[   33.03s ->    37.83s] And the third being developing some sort of statistical basis for your trading. Now,
[   38.31s ->    42.77s] it's very important to keep in mind that whenever you develop a trading model,
[   42.95s ->    49.53s] one thing is certain. And that one thing is that your model is incorrect. But hopefully you've seen
[   49.53s ->    54.09s] some of my other videos on how to trade or maybe that the expectation doesn't exist.
[   54.09s ->    59.17s] And you're starting to see that even though our model is incorrect, it does not mean that we
[   59.17s ->    66.79s] cannot profit from it. Let's start with this idea of what volatility even is. Volatility is this notion
[   66.79s ->    73.23s] of quadratic variation on the return series. All that really means is we're looking at the
[   73.23s ->    78.39s] statistical variance or the standard deviation to come up with some sort of measure of dispersion
[   78.39s ->    85.33s] of those returns. Now, hopefully you've seen some of my other videos on how to trade or that the expected
[   85.33s ->    92.61s] return of a stock doesn't exist. Because when we use this measure, it's already wrong. What I mean
[   92.61s ->   100.15s] is we're relying on this, this mean, this mean return to develop a notion of distance from return.
[  100.15s ->   107.29s] That's what dispersion is in a statistical sense. But that mean return doesn't converge to one value.
[  107.47s ->   115.37s] So what might be an outlier in one period might be very common in another. There are several reasons
[  115.37s ->   121.81s] why this is the case. One being that this return distribution just changes over time. That's
[  121.81s ->   128.11s] confusing. Just think about a company in the early 2000s. And in 2025, 25 years later, clearly,
[  128.11s ->   134.23s] that company is going to be a completely different company. Macro regimes don't just change. Administrative
[  134.23s ->   139.01s] regimes don't just change. But even within that company, leadership changes. So there are a lot of
[  139.01s ->   146.87s] different factors that contribute to this measure of volatility being wrong in general. Moreover, this
[  146.87s ->   153.07s] true volatility process that we're trying to measure is always going to be backwards looking,
[  153.07s ->   160.19s] right? We need the return to develop this measure. So the volatility itself is not actually observable,
[  160.19s ->   165.91s] at least in this sort of backward looking sense here. Some firms have proprietary measures and this
[  165.91s ->   171.85s] or that. But, you know, quadratic variation and variance is a very, very simple way that is typically
[  171.85s ->   179.37s] highly correlated with these very, very proprietary measures of volatility. Knowing that volatility is
[  179.37s ->   186.69s] this difficult to measure unobservable quantity, how can we go about modeling what the value actually
[  186.69s ->   192.53s] is? Well, there's a couple of different things we can do. And the first thing we can do is develop a
[  192.53s ->   199.05s] simplified state of the world where volatility is constant. Then we can impose this structure of a
[  199.05s ->   205.97s] standard deviation on the historic returns, so the returns that we've already realized, and see
[  205.97s ->   213.15s] what the standard deviation is of those returns relative to some true measure of volatility that
[  213.15s ->   219.39s] was used to generate that process. What do I mean by this? Well, here I have a nice looking chart that
[  219.39s ->   227.73s] simulates a stock price, and it simulates a stock price based on a constant volatility of 0.2 or 20%.
[  227.73s ->   233.67s] So what I've done here is I've imposed that structure of a 30-day rolling quadratic variation,
[  233.67s ->   239.81s] and I've annualized that value by just multiplying by the square root of 252, but we won't get into the
[  239.81s ->   248.13s] details right now. The important thing to know is volatility here. We know what that true value is.
[  248.37s ->   255.17s] In real life, we don't know what the true volatility value is generating that price process. However,
[  256.45s ->   263.11s] here we do. So we can see essentially how that standard deviation does at coming up with a number.
[  263.11s ->   268.71s] Pretty much coming up with a number out of thin air, because again, that volatility value is
[  268.71s ->   273.57s] non-observable. We can't actually see what it is. So what we're going to do here is we're going to
[  273.57s ->   278.65s] impose this 30-day rolling quadratic variation, and we can see, okay, on a rolling basis, we get
[  278.65s ->   284.69s] somewhere between 0.1 and 0.2. Certainly better than nothing, because we don't know if it's going to
[  284.69s ->   290.51s] be close to 0.01 or if it's going to be close to 1.2. We have no idea where that vol might actually
[  290.51s ->   297.97s] reside. Here we know it's 0.2, and imposing this structure of a 30-day rolling quadratic variation,
[  298.09s ->   303.63s] we see that it's between 0.1 and 0.2. Certainly better than nothing, maybe a reasonable measure for
[  303.63s ->   310.19s] what the true volatility of the underlying process is. I say that it is not bad. There are certainly
[  310.19s ->   316.19s] things we could do to improve this, but at a cursory level, this is definitely a reasonable way
[  316.19s ->   321.95s] about going about measuring historic realized volatility. Now, of course, in this example,
[  322.11s ->   328.87s] volatility is constant. This is not the case in real life. Volatility itself is a stochastic
[  328.87s ->   335.67s] process. So let's increase the complexity of that simulation. It's all about starting with the base
[  335.67s ->   341.79s] case and increasing complexity, because if you can't profit in a pretend world where everything is
[  341.79s ->   347.87s] simple, how on earth are you going to profit in the real world where everything is incredibly
[  347.87s ->   355.50s] complex? Here, volatility is not constant. Volatility is a stochastic process. It's a mean reverting
[  355.50s ->   360.78s] process. This is a Heston model, which assumes an Ornstein-Ullenbach mean reverting process for the
[  360.78s ->   368.00s] volatility path. What we have here is this blue path is the stock price. This green path is the true
[  368.00s ->   374.40s] volatility path. This is starting to look more like real life. Volatility is not a constant 0.2. It's
[  374.40s ->   382.06s] not a constant 20% like in this simplified example here. Volatility is now a stochastic process. So when
[  382.06s ->   388.80s] we impose this 30-day rolling quadratic variation, you can see this red line is trying to track this
[  388.80s ->   396.30s] green line. And though it is incorrect, it's incorrect probably all of the time, it is certainly better
[  396.30s ->   401.44s] than nothing at discerning a level of volatility. Now, of course, it's lagged, it's backwards looking,
[  401.52s ->   409.44s] all of these things. However, remember, this is a random variable that evolves over time. This is a
[  409.44s ->   416.08s] very simple measure. We're taking the standard deviation of the previous 30 days of returns.
[  417.44s ->   423.64s] A very simple rolling measure is trying to capture the dynamics of this very complicated,
[  423.64s ->   430.20s] unobservable process. So it's certainly doing a relatively reasonable job. Of course, there's
[  430.20s ->   434.22s] going to be issues with it. It's backwards looking in that sense. So it's always going to be delayed
[  434.22s ->   441.04s] and this and that. However, in terms of trying to discern a level, it's doing a pretty good job
[  441.04s ->   448.38s] because this red path is relatively in line with this green path. When I say it's better than nothing,
[  448.38s ->   454.36s] it's certainly better than nothing. And moreover, it evolves with time. So remember, in real life,
[  454.44s ->   459.66s] volatility is not going to be constant. It's going to evolve over time randomly. And here we can see
[  459.66s ->   465.76s] this red line is doing its best at tracking this true vol measure. So again, we won't see this green
[  465.76s ->   470.94s] path in real life. We'll only have this red path. And it's certainly doing a reasonable job. This is
[  470.94s ->   477.10s] definitely not a model that I would use in real life. This is a very simplified, again, simplified example,
[  477.10s ->   483.74s] simplified model. But what we're trying to do here is we're trying to understand why volatility is difficult
[  483.74s ->   491.46s] to model. And that's due mainly to the fact that it's unobservable and evolving randomly through time. So
[  491.46s ->   498.88s] here, 30 day rolling quadratic variation on a volatility price path that is more reflective of something that
[  498.88s ->   504.62s] you would see in the real market, it does a reasonable job. In the context of modeling volatility, we face
[  504.62s ->   511.26s] several challenges, I've discussed a few of them, and I've listed some of them here. But there's a lot we can do to
[  511.26s ->   517.62s] try to develop a better model than just this simple rolling 30 day average. And there's a lot of different models for
[  517.62s ->   524.30s] volatility. And in fact, each one probably merits a lecture for each model. Nevertheless, I figured I would discuss the
[  524.30s ->   531.12s] different tasks from time series analysis and some of the models for volatility so that if anyone wanted to continue
[  531.12s ->   537.76s] doing some research, they certainly could. So in terms of time series analysis tasks, remember, if volatility is a
[  537.76s ->   545.12s] random process that evolves over time, this is going to be relevant to the entire study of time series. So there are
[  545.12s ->   551.76s] three tasks, essentially, that you can do in a time series setting, you can filter smooth or forecast. And all that really
[  551.76s ->   559.52s] means and I've broken it down here is filtering is where the heck is vol at now. So what is the reasonable
[  559.52s ->   568.08s] level of volatility now? That's what we try to accomplish with filtering. Smoothing is where the heck was vol.
[  568.80s ->   575.36s] So in a backwards looking setting, where the heck was volatility at this at this time at this time, of course,
[  575.36s ->   581.44s] this is in the backwards looking setting. And then of course, forecasting where the heck will vol be, all of
[  581.44s ->   586.56s] these are very relevant. If you have any hope to forecasting vol, you should sure as heck know where
[  586.56s ->   592.80s] it was and where it is now, right? That seems a very, very important and necessary component of
[  592.80s ->   598.48s] forecasting is smoothing and filtering. But, you know, that that is something that I will leave to
[  598.48s ->   604.08s] further study. And perhaps these are lectures again of their own, because these are certainly some some
[  604.08s ->   609.76s] very important topics. I figured I'd also list some volatility models here, we have arch garch models,
[  609.76s ->   615.76s] of course, a garch model is going to be a more parsimonious representation of a higher order arch
[  615.76s ->   622.48s] model. We have some sort of mean reverting process, as I've visualized earlier in the Heston setting.
[  622.48s ->   626.96s] And then you can do some sort of exponentially weighted moving average, which this may have
[  626.96s ->   633.12s] been redundant to list. But regardless, I figured I would include it in the volatility model section.
[  633.12s ->   641.36s] So, in the context of modeling volatility, the keys are that, again, volatility is unobservable,
[  641.92s ->   647.60s] and these statistical measures change over time. And we're always going to be trying to figure out
[  647.60s ->   654.88s] where the heck volatility was, where is it now, and where it will be. Knowing now that there are
[  654.88s ->   661.12s] several models for volatility, and there are a variety of different tasks related to this
[  661.68s ->   667.60s] volatility measurement process, I was just going to include another simple example of
[  668.24s ->   673.68s] a different measure for volatility. That is, we have this Heston price path, we have this true
[  673.68s ->   679.76s] volatility path. And now I've included a new measure of volatility, I have this 30 day rolling quadratic
[  679.76s ->   686.48s] variation. And I also have a 15 day rolling quadratic variation, which one is correct. And that's exactly
[  686.48s ->   692.00s] my point. So, here we have two different measures of volatility objectively in a backwards looking
[  692.00s ->   698.48s] setting, which one is more correct to use. That is why the study of time series is so relevant,
[  698.48s ->   704.40s] along with all of these volatility models. So, something to keep in mind is, which one is more
[  704.40s ->   711.20s] correct might change at different times. So, this is going to be the moving target, right? There's no
[  711.20s ->   717.36s] set and forget in a volatility trading setting. There's no such thing as a set and forget. Things
[  717.36s ->   722.64s] dynamically change on a daily basis all the time. So, one measure might be more correct than another
[  722.64s ->   728.48s] during any given time period. Something to understand and something to consider. Up until
[  728.48s ->   733.76s] this point, we've been looking at realized volatility. What that means is we're looking at this price
[  733.76s ->   740.16s] path and a series of returns associated with this price path. And we're measuring the quadratic variation
[  740.16s ->   746.48s] of this return series. That is the realized volatility, the realized volatility. There's also
[  746.48s ->   752.72s] a measure of implied volatility, and this is directly related to an option contract. So, what implied
[  752.72s ->   759.52s] volatility is, is it takes some sort of pricing function. Usually, unless stated otherwise,
[  759.52s ->   767.04s] it is going to be a Black-Scholes pricing model. Nevertheless, you can also develop this notion
[  767.04s ->   772.56s] of implied volatilities with any other pricing function that takes volatility as an input. So,
[  772.56s ->   776.88s] just want to leave that there as a disclaimer. There are such things as like Heston implied
[  776.88s ->   782.29s] volatilities, for example. Not everything is just a Black-Scholes implied volatility. But,
[  782.29s ->   786.93s] nevertheless, implied volatility, what it does is it takes the pricing model,
[  786.93s ->   793.65s] along with all of the assumptions. And it takes the market price of an option, which is determined
[  793.65s ->   800.85s] by supply and demand. And it says, hey, what volatility input to this model gives us the market
[  800.85s ->   808.61s] price? That's all volatility is. Essentially, it tells us the volatility that traders are pricing
[  809.87s ->   816.59s] current options in the market at. So, I take whatever volatility, whatever that implied volatility
[  816.59s ->   821.47s] number is, based on the current market supply and demand. I put it into this pricing function,
[  821.47s ->   830.64s] and it'll spit out the market price that I'm seeing anyway. So, this problem of pricing options
[  830.64s ->   836.16s] seems a little redundant if the market's going to determine the price anyway, right? Why do we care
[  836.16s ->   843.28s] so much? Well, really, the important number is that implied volatility, right? That makes everything
[  843.28s ->   854.24s] apples to apples, if you will. We can see what the uncertainty measure is in terms of market prices
[  854.24s ->   860.08s] right now in a forward-looking setting. That's this sort of very impressive, important aspect of these
[  860.08s ->   867.20s] pricing functions. Why is this even more important and impressive? Well, the implied volatility itself is
[  867.20s ->   873.68s] directly observable. I can observe the implied volatility right now. I can pull up a path of the implied
[  873.68s ->   881.44s] volatility over time. So, implied volatility is very different from realized volatility. Implied volatility
[  881.44s ->   886.72s] is directly related to the option price. In fact, you can usually swap them out on some sort of volatility
[  886.72s ->   893.68s] surface visualization. I'm sure I'm going to do another video on the volatility surface in the near future,
[  893.68s ->   899.84s] probably in terms of some sort of model calibration for price extrapolation. But regardless, these are
[  899.84s ->   906.64s] two separate quantities. It's very important to distinguish them because here, in these examples,
[  906.64s ->   911.76s] in the simplified example and the more complex examples, even this example using two different
[  911.76s ->   917.52s] models for volatility, we're looking at realized volatility. We're not looking at the option implied
[  917.52s ->   923.20s] volatility. It's very important to discern these two quantities. Here, I outline, you know,
[  923.20s ->   928.88s] the methodology of deriving implied volatility, what it tells us. And it's also very important to know
[  928.88s ->   934.40s] that you can come up with different types of implied volatilities. But remember, unless stated otherwise,
[  934.40s ->   941.76s] it's going to be in terms of a Black-Scholes implied volatility. Things get a little tricky because
[  941.76s ->   949.20s] there's this notion of implied volatility and realized volatility. Sometimes people say realized
[  949.20s ->   956.24s] volatility is historic volatility. However, there's also a notion of historic implied volatility.
[  957.04s ->   962.88s] Wow, that's a lot. What do I mean by this? Well, in all of these examples above, we've looked at
[  962.88s ->   969.76s] historic realized volatility. We're looking at volatility in a backward setting, historic, and we're
[  969.76s ->   974.40s] looking at the realized volatility. We're looking at quadratic variation of the return series.
[  975.28s ->   980.96s] That's the historic realized volatility. And I've simulated another example of this. This is just the
[  980.96s ->   986.96s] true volatility path relative to the 30-day rolling quadratic variation. But we can also
[  986.96s ->   992.56s] look at the historic implied volatility. What do I mean by this? Well, if we do that process of taking
[  992.56s ->   997.52s] some sort of pricing function, determining the volatility to put into that pricing function that
[  997.52s ->  1003.36s] spits out the current market prices, we can just lock in that value recorded at a certain point in
[ 1003.36s ->  1010.40s] time and do that on a daily basis. Then we have a series of implied volatilities. And in a backwards
[ 1010.40s ->  1016.24s] looking setting, that's historic implied volatility. So very important to understand these ideas.
[ 1016.24s ->  1023.28s] This is the true path of implied volatilities. It's very important to understand this. Of course,
[ 1023.28s ->  1029.04s] it's going to depend on how you aggregate it. Are you looking at one option? Yes, there's a lot that
[ 1029.04s ->  1035.92s] goes into this quantity here, but it's observable. We don't have to do any sort of filtering or anything
[ 1035.92s ->  1041.68s] like that. This could be some sort of aggregate measure across at the money options. Whatever it may
[ 1041.68s ->  1049.04s] be, you can observe this quantity of implied volatility. This is the true historic implied
[ 1049.04s ->  1055.92s] volatility path that we're looking at. In fact, this is for Nvidia. I've queried the data and I've also
[ 1055.92s ->  1062.56s] included a script if you would like to query the data yourself, but I've also included the data in
[ 1062.56s ->  1070.32s] this repository with the Jupyter notebook. Which volatility measure is then correct? We know they're
[ 1070.32s ->  1076.96s] inherently different. We know that the models that we're imposing are inherently wrong. Nevertheless,
[ 1076.96s ->  1083.44s] do they track a similar level? Are they useful in the sense that we're coming up with some sort of
[ 1083.44s ->  1089.92s] actual measure for volatility? Let's take a look. What I've done is I've queried this information for
[ 1089.92s ->  1097.84s] Nvidia from 2020 to 2025. We're looking at the implied volatility. We're looking at a proprietary measure
[ 1097.84s ->  1104.24s] of realized volatility and we're going to simply look at the quadratic variation just as we had done
[ 1104.24s ->  1111.28s] in the simple examples above with a constant volatility and a mean reverting volatility in that
[ 1111.28s ->  1120.16s] Heston sense. So here I've visualized each of these over time and you can see that they track relatively
[ 1120.16s ->  1126.40s] well some level of volatility. What I mean is, you know, implied volatility isn't out here at 120%
[ 1126.40s ->  1131.68s] with realized volatility down here at 20%, right? That's not at all what's happening. These are
[ 1131.68s ->  1140.00s] tracking some sort of level in a reasonable sense. Now that level will change over time, right? Just
[ 1140.00s ->  1146.96s] because it's about 40% here and it's about 60% here and it comes back down to 40% here does not mean that
[ 1146.96s ->  1154.88s] it's going to always revert down to this, this mean 40%. And that's a very important idea. This mean level
[ 1154.88s ->  1163.28s] is going to change over time, right? The only certainty in this trading space is that your assumptions are
[ 1163.28s ->  1170.75s] wrong and things are going to change over time. That's trading. That is why it's a full-time job
[ 1171.39s ->  1176.99s] to develop and deploy these models because it's not a set and forget print money. You have to
[ 1176.99s ->  1184.99s] understand that these dynamics change over time. And it's a very easy to see that in something like
[ 1184.99s ->  1192.37s] this time series of volatilities. Okay. So which one's correct? Well, obviously they measure different
[ 1192.37s ->  1199.41s] things, but they track a level relatively well with respect to one another. If we're trying to do some
[ 1199.41s ->  1205.25s] sort of feature engineering, I figured I would sprinkle this idea in. If we're taking a look at all of these
[ 1205.25s ->  1212.29s] measures of volatility, what can we do to develop an aggregate measure, an aggregate measure?
[ 1213.01s ->  1221.65s] I've had a video in the past on principle component analysis. It's a deep dive into PCA in the context of
[ 1221.65s ->  1226.37s] the return space. So I highly encourage you check that out. But one thing we can do is we can develop
[ 1226.37s ->  1231.97s] a whole bunch of different measures for volatility. Maybe we're looking at realized volatility measures,
[ 1231.97s ->  1236.69s] different implied volatility measures. Maybe we're using different pricing models. We're looking
[ 1236.69s ->  1242.61s] at implied volatilities across different pricing models. We're looking at different ways to filter
[ 1242.61s ->  1249.09s] and smooth realized volatility. And we have maybe 30 measures of volatility. Here, I only have three.
[ 1249.09s ->  1256.21s] But what we can do is we can conduct a principle component analysis to try to determine if there's a way to
[ 1256.21s ->  1264.85s] combine all of those volatility features in some linear way to essentially reduce the dimensionality.
[ 1265.49s ->  1271.41s] And that's exactly what I've done here. So what I've done is I've taken this this series of different
[ 1271.41s ->  1277.89s] volatility features. And I said, hey, I want to compress this into, say, one or maybe two features.
[ 1277.89s ->  1283.65s] I could have 30 different measures of volatility. But what I've done is I've done this PCA on these three
[ 1283.65s ->  1290.69s] measures. And you can see that within the first two principal components, I capture roughly 97%
[ 1290.69s ->  1301.33s] of the variation in that space. So using only two features, I capture 97% of the variation in this
[ 1301.33s ->  1308.13s] series. That is quite an impressive number, but it's not at all unexpected, right? If you had more
[ 1308.13s ->  1313.09s] volatility features, you could probably compress it down to maybe like, you know, three or five,
[ 1313.09s ->  1317.89s] whatever it is. And you can capture a significant amount of variation within that volatility space.
[ 1317.89s ->  1323.81s] You could also take a look at the loadings on each of the implied and realized volatilities to see
[ 1324.45s ->  1331.01s] which one contributes to more on each of the principal components in the PC space. But again,
[ 1331.01s ->  1336.85s] this is going to be more related to the idea of dimensionality reduction and principal component
[ 1336.85s ->  1341.49s] analysis specifically for feature engineering of volatility feature. If you're doing some sort of
