[    0.46s ->     6.42s] One of my favorite tools and something that's used widely in all of quantitative finance is
[    6.42s ->    11.94s] this idea of Monte Carlo simulation. You just can't seem to escape it. Whether you're trying
[   11.94s ->    17.42s] to measure risk or you're trying to develop prices, it's used everywhere. In fact, if you
[   17.42s ->    22.90s] look at my previous videos where I talk about the gambler's room problem, or I discuss if quant
[   22.90s ->    29.16s] trading is considered gambling, I freely use Monte Carlo simulation in those videos to develop my
[   29.16s ->    35.12s] statistics and probabilities, but I never discuss why I'm allowed to do that. Why does that
[   35.12s ->    40.24s] work? Why am I certain that when I simulate those values, I'm going to produce the correct
[   40.24s ->    45.00s] statistics and probabilities? In this video, that's exactly what I want to discuss. I want
[   45.00s ->    49.30s] to develop some intuition, want to use some practical examples, and I want to show you
[   49.30s ->    55.26s] how Monte Carlo simulation can be used to develop this idea of edge, even if you don't know the
[   55.26s ->    59.76s] true theoretical distribution. As always, this Jupiter notebook will be available in the description
[   59.76s ->    65.68s] below, as well as on the Quant Guild library on GitHub. Moreover, I'm very excited to announce
[   65.68s ->    72.00s] a massive update to quantguild.com, over 90 lessons in math, finance, and probability, over
[   72.00s ->    78.78s] 1,000 practice questions with gamified progress. You can see your improvement in your rank in each
[   78.78s ->    85.52s] respective subject. And we've even launched live courses. You can take live classes with me on
[   85.52s ->    91.22s] topics like pricing, stochastic calculus, even quantitative trading. So please check out
[   91.22s ->    96.38s] quantguild.com to help support the channel so I can continue to make videos like this one.
[   96.88s ->   101.28s] All right, let's talk about the law of large numbers. Before we talk about the law of large numbers,
[  101.28s ->   108.00s] we need to come to some sort of mutual understanding as to what a random variable is. Whenever we're
[  108.00s ->   113.10s] dealing with a random variable, I want you to think of two cases. There's one case where we're
[  113.10s ->   119.00s] dealing with this theoretical distribution that's defined by some sort of probability mass or density
[  119.00s ->   125.26s] function. In reality, what it is, it's a way to characterize the randomness of the random variable. So
[  125.26s ->   131.48s] if you take a look at this bell curve here, this is characterizing the randomness of the variable x.
[  132.04s ->   137.72s] Now, that's the theoretical distribution that x follows. It certainly does follow that
[  137.72s ->   144.98s] distribution. If I was to continue to sample x from this distribution, we would see x is likely to
[  144.98s ->   151.06s] be drawn from around the center where most of the mass is, and it's less likely to be drawn from the tails
[  151.06s ->   157.68s] where there's less mass. And if we continue to simulate draws, what we're going to eventually see is
[  157.68s ->   165.04s] that the draws, the empirical distribution lines up perfectly with this theoretical distribution. And that's
[  165.04s ->   169.94s] really what convergence and distribution suggests. So if I run this, what I'm going to do is I'm going
[  169.94s ->   176.56s] to sample different draws of x from the theoretical distribution. Now, anytime we're dealing with a
[  176.56s ->   181.24s] random variable, it's tempting to want to treat it as just a regular old number because you see
[  181.24s ->   187.38s] variable x like from calculus or any sort of algebra class, and you want to treat it as some sort
[  187.38s ->   191.44s] of deterministic number or quantity. But keep in mind, when we're dealing with randomness,
[  191.44s ->   196.54s] we're dealing with a distribution of possible outcomes that are weighted by some sort of
[  196.54s ->   201.90s] likelihood. And in this case, the likelihood is defined by this normal distribution.
[  202.84s ->   209.26s] Okay, so what happens as I continue to sample from this theoretical distribution? Well, we can see that,
[  209.42s ->   213.62s] okay, it's likely to see points around the center, less likely to see points out towards the tails.
[  213.86s ->   219.00s] And as we continue to sample, this is 10,000 samples from the theoretical distribution,
[  219.00s ->   224.76s] we can see it's starting to converge to that theoretical distribution. That's precisely what
[  224.76s ->   230.00s] we expect to see. So anytime we're dealing with a random variable, I want you to think of a
[  230.00s ->   235.36s] distribution, not a single value, it's a set of possible values with some sort of probability
[  235.36s ->   239.96s] likelihood weighting. It's very important to understand the difference between a theoretical
[  239.96s ->   245.46s] and an empirical distribution. Anytime we're dealing with data in finance in real life,
[  245.46s ->   251.80s] we're looking at an empirical distribution. Now, theoretically, the returns do follow some sort
[  251.80s ->   258.02s] of distribution, but that distribution is likely time variant, and it's not well defined. In other
[  258.02s ->   263.92s] words, if we're looking at the stock returns for let's say Nvidia, there is no red line that we know
[  263.92s ->   269.98s] the distribution follows. Theoretically, there's some distribution governing those returns, but we don't
[  269.98s ->   274.36s] know what it is. So we're only looking at the draws from that theoretical distribution,
[  274.36s ->   280.36s] we don't have the red line. Now, in this example, we have both the theoretical distribution, which is
[  280.36s ->   286.98s] the red line, and the empirical distribution that we can see matches up nicely with that theoretical
[  286.98s ->   293.24s] distribution. The big difference in real life is we don't necessarily know if the empirical
[  293.24s ->   299.30s] distribution will converge to a theoretical distribution, and that is likely due to the time
[  299.30s ->   303.90s] variant nature of the distribution. But we're going to check out a cool animation in a moment to help
[  303.90s ->   308.54s] solidify this idea. Okay, so we know anytime we're dealing with a random variable, we think
[  308.54s ->   313.10s] distribution. And typically, when we're dealing with random variables, we're interested in quantities
[  313.10s ->   319.64s] like the expectation and the variance, some measure of central tendency and spread. The reason for this
[  319.64s ->   327.94s] is if we have a good measure for the expectation, then we can use that idea to help us generate PNL and
[  327.94s ->   332.62s] profit in different settings. I'll give an example of this in a moment. But for now, let's talk about the
[  332.62s ->   339.30s] basis for why we can generate those quantities, and that is the law of large numbers. So the law of
[  339.30s ->   345.86s] large numbers is saying essentially in both forms, different convergence guarantees, but in both forms,
[  345.94s ->   352.26s] in essence, what it's saying is, if we continue to draw independently from the same theoretical
[  352.26s ->   358.88s] distribution, that is this red line or this pink line, and we try to compute a sample statistic,
[  358.88s ->   364.06s] let's call it the mean, the expectation, the average, whatever you want to call it, then that
[  364.06s ->   371.06s] sample empirical mean that we are computing will converge to the true population mean. That is a
[  371.06s ->   376.66s] very, very powerful result that may not be immediately apparent. I've come up with a couple of different
[  376.66s ->   382.18s] ways to help visualize this. So let's start talking about why Monte Carlo simulation works, and that is
[  382.18s ->   387.64s] because of this law of large numbers here. So if you take a look at either of these two distributions,
[  387.64s ->   394.06s] the mean is in the center. This vertical dashed line is the mean, and that is the mean of the
[  394.06s ->   400.60s] theoretical distribution. What I'm going to do is I'm going to sample from that theoretical distribution
[  400.60s ->   409.60s] a number of times. So here I do it 10, 50, 100, 500, 1,000, 5,000, and 10,000 times. What I'm going to do
[  409.60s ->   416.86s] is I'm going to do the sampling on a different basis down here, but I want you to take a look at the
[  416.86s ->   423.68s] empirical mean relative to the theoretical mean as the sample size increases. So I'm going to start
[  423.68s ->   431.40s] at two and go up to 5,000. You can see the empirical mean is going to ping pong around this theoretical
[  431.40s ->   440.08s] mean until the sample size is so large that it approaches the true theoretical mean. So what are
[  440.08s ->   444.36s] we doing here? We're saying if we continue to sample from this theoretical distribution,
[  444.36s ->   451.42s] and we do this for a large enough sample size and take the mean, then that mean is going to be
[  451.42s ->   459.46s] equivalent in probability to the theoretical mean. A wildly powerful theorem because what if we don't
[  459.46s ->   464.48s] know what the theoretical distribution's mean is? What if we can't compute it analytically or it's
[  464.48s ->   470.76s] difficult to compute analytically? Well, we can just draw from that distribution and we can compute
[  470.76s ->   477.66s] that statistic. That's exactly what Monte Carlo simulation is, and that is exactly why it works.
[  477.82s ->   482.18s] Now that we know that the law of large numbers is the theoretical basis for Monte Carlo simulation,
[  482.36s ->   488.09s] we can look at some interesting examples. The first is this idea of a dice roll. Now we can compute
[  488.09s ->   493.51s] the expectation and the variance or standard deviation of a dice roll analytically, and I do so here,
[  493.51s ->   500.25s] but we can also apply Monte Carlo simulation thanks to the law of large numbers, right? When I roll a dice,
[  500.57s ->   506.57s] the probabilities are fixed. That is, the randomness is well defined, just as in the case of this pink
[  506.57s ->   513.15s] or red distribution for our random variable x. So if that's the case, then I can just continue to roll
[  513.15s ->   521.11s] the same die, say 10,000 times, and compute the empirical mean and the empirical variance. That is,
[  521.11s ->   526.31s] I'm just going to take the average, right? And then I'm going to compute the variance of all of the
[  526.31s ->   533.63s] dice rolls that I've recorded. And if I do this for enough samples or enough dice rolls, you can see
[  533.63s ->   539.77s] that the values will actually converge to the true theoretical values that we computed here. Now that's
[  539.77s ->   545.45s] a trivial example, right? This is easy. I know that I can compute the expectation variance of a dice roll.
[  545.45s ->   553.11s] So how is this useful? Well, what if we didn't know the theoretical value, right? What if we needed simulation
[  553.11s ->   558.85s] because there was no analytical solution? That's exactly where this technique shines. So what I want to do is I
[  558.85s ->   563.79s] want to extend a simple dice roll example to this idea that we are a casino, and we're trying to price a new game
[  563.79s ->   569.97s] of chance. So here's our new game of chance. Our game of chance is we roll a six-sided die. If it's odd, we're going to
[  569.97s ->   575.65s] flip a weighted coin and then receive a payout. Otherwise, if the dice roll is even, we're going to
[  575.65s ->   580.89s] flip a fair coin and then receive a payout. Now we can compute this analytically, but I want to deploy
[  580.89s ->   586.95s] Monte Carlo simulation instead. One thing to note about this game is it's not changing every time we
[  586.95s ->   592.97s] play it, right? It's the same fixed structure, just as in the case of a dice roll, the dice isn't changing
[  592.97s ->   598.47s] every time I roll it. Or if I draw from this pink or red distribution, that distribution is not changing.
[  598.47s ->   605.49s] So in this case, this game has a payout distribution, which is fixed theoretically.
[  606.13s ->   610.79s] So if it's fixed theoretically, what I can do is I can just draw from that payout distribution
[  610.79s ->   618.37s] and use the simulation to compute the expectation, just as we saw in this dice roll example.
[  618.67s ->   623.19s] That's exactly what I do here. Now I do go one step further and I compute the theoretical
[  623.19s ->   629.77s] mean just to ensure that it's converging correctly. But that is exactly what we see. We see that if I
[  629.77s ->   636.35s] was to sample, that is play this game and record the payout, say 10,000 times, take the average,
[  636.69s ->   642.37s] then it's going to converge to the theoretical mean, just as we expect, thanks to the law of large
[  642.37s ->   649.47s] numbers. Why is this important? One word, edge the accumulation of positive expected value over time.
[  649.47s ->   654.97s] In games of chance, you don't have any control over your expected value. In games of incomplete
[  654.97s ->   660.49s] information like poker or trading, your actions and optimal actions in the face of uncertainty
[  660.49s ->   665.79s] directly contribute to your expected value. And you want that to be positive so that you can make money.
[  666.17s ->   671.71s] So in this case, if we're the house and we know that the expected value is 325, how do we price this
[  671.71s ->   676.87s] game so we know we have an edge? Well, check this out. I have a couple of different wealth paths for the
[  676.87s ->   682.21s] casino here, pricing the game in different circumstances. This is exactly what edge is.
