[    0.46s ->     6.51s] All right, here we go. You all have been requesting this video for quite some time.
[    6.61s ->    11.71s] And fortunately, we've already discussed time series analysis and its place in quantitative
[   11.71s ->    18.21s] finance on this channel. So we are prepared to discuss one of the most profound and innovative
[   18.21s ->    24.87s] models in the entire space. And that is this Arch and Garch volatility model or process
[   24.87s ->    31.05s] pioneered by noblest Robert Engel in 1982. I actually had the opportunity to watch Robert
[   31.05s ->    37.45s] Engel give the keynote talk at a Bloomberg quant seminar was a very cool experience. I learned a
[   37.45s ->    43.39s] lot, got to meet a lot of very interesting people at those quant seminars. I even gave a few lightning
[   43.39s ->    48.25s] talks of my own. So if you have access to a Bloomberg terminal, you'll be able to look up those
[   48.25s ->    53.73s] lightning talks and see the different presentations that I gave at those seminars. But I'll digress for
[   53.73s ->    59.35s] now. In any case, very excited to be able to discuss these models today. The best way to go about
[   59.35s ->    66.49s] understanding these models is to understand why they're necessary from the standpoint of the
[   66.49s ->    72.35s] dynamics that we need to capture. So what we'll do is we'll discuss volatility in general, we'll discuss
[   72.35s ->    79.37s] realized volatility and implied volatility, similarities and differences. We'll discuss relevant statistics,
[   79.75s ->    86.81s] applications of volatility modeling, and some stylized facts, things we observe in the market that
[   86.81s ->    93.81s] volatility tends to do and relationships with returns. We'll then move on to this idea of
[   93.81s ->   102.53s] modeling volatility in a pre-arch world before this arch model was even conceptualized. Then we'll extend
[  102.53s ->   108.97s] to a post-arch world. We'll go about modeling volatility using such a process. Then we'll extend to
[  108.97s ->   115.45s] the generalization, this so-called GARCH model, and talk about the impact in the applications.
[  115.45s ->   121.07s] Very rarely in Quant Finance is anything constant over time, but what directly contradicts this,
[  121.21s ->   126.97s] and is always constant over time, is access to my Jupyter notebooks. This Jupyter notebook will be
[  126.97s ->   132.21s] linked in the description below. I will also post it on the Quant Guild library on GitHub, where you
[  132.21s ->   137.95s] can find all of my Jupyter notebooks and associated YouTube videos, along with the source code for all
[  137.95s ->   142.55s] of my quant builds. At the top of this Jupyter notebook, you'll notice some related Quant Guild videos
[  142.55s ->   148.37s] on topics applying statistics to trading and finance, working with different measures of volatility,
[  148.61s ->   154.73s] realized volatility, implied volatility, time series analysis specifically for quantitative finance,
[  154.81s ->   159.61s] the different tasks we can perform, different decompositions, and the impact in this space.
[  160.03s ->   164.71s] If you're unfamiliar with any of these ideas, I highly recommend you check these videos out first
[  164.71s ->   170.95s] before approaching this one on the ARCH and GARCH models. Moreover, these videos certainly take a
[  170.95s ->   175.33s] lot of effort to create, so if you'd like to help support the channel, please like, comment, subscribe.
[  175.87s ->   181.55s] Check out channel membership. It helps me out a ton. It is so greatly appreciated. And if you'd like to
[  181.55s ->   187.81s] master your quantitative skills, check out QuantGuild.com. Maybe you come from a background in business,
[  187.99s ->   193.17s] economics, computer science, and aren't too sure where to start on your quant journey. Quantitative
[  193.17s ->   200.15s] finances section, interdisciplinary subject, combining so many ideas from math, computer science, finance,
[  200.31s ->   205.15s] statistics, probability. It's hard to figure out where to get started. Well, QuantGuild is for you. We
[  205.15s ->   211.13s] have over 90 quant lessons from the ground up in math, probability, and finance. An adaptive practice
[  211.13s ->   217.33s] engine that scales with your skill level, gamified rank-based progress, so you can progress to more and
[  217.33s ->   223.87s] more difficult questions. Interview questions with fully worked solutions, trading games, coming soon,
[  224.05s ->   231.93s] courses in coding, math, statistics, all from the ground up. And all that's included with QuantGuild
[  231.93s ->   236.53s] membership. And you can get started right now for free. So if you'd like to help support the channel
[  236.53s ->   242.51s] and master your quantitative skills, check out QuantGuild.com. Without further ado, let's get started
[  242.51s ->   251.28s] by discussing this idea of volatility. What is volatility anyway? We'll hear this as some sort of
[  251.28s ->   260.71s] fear gauge, some measure of dispersion or choppiness. All that's a very fair assessment. Really, a little
[  260.71s ->   268.85s] more formally, all volatility is, is a measure of deviation from some sort of expectation, typically in
[  268.85s ->   275.57s] the context of returns. So we're not dealing with the stock price path, but rather the returns
[  275.57s ->   282.67s] associated with that path. And things get tricky here really quickly because immediately we are
[  282.67s ->   289.39s] confronted with a question. What is the expectation? We can't just go out into the market and observe
[  289.39s ->   297.05s] volatility. We need to create some sort of benchmark expectation that we're measuring fluctuations around
[  297.05s ->   304.15s] and deviations away from. So what should that be? Well, one way to go about constructing a benchmark
[  304.15s ->   311.83s] is to get a whole bunch of historic return data, compute the average, and then measure deviations
[  311.83s ->   318.43s] away from that average and use that as volatility. Effectively, that's what I do here. So this is what
[  318.43s ->   325.61s] we would consider realized or historic volatility. I'm getting Apple return data, I'm taking the average
[  325.61s ->   332.09s] return, and then I'm measuring deviations in the returns about that average. So anytime there's
[  332.09s ->   337.77s] a deviation on the downside or the upside, I measure that distance, I compute that as a volatility.
[  337.77s ->   344.17s] It's the squared deviations here. So on the left, you see the returns, on the right, you see these
[  344.17s ->   352.01s] volatility measures. Why are they different? And why are they changing over time? Well, volatility is not
[  352.01s ->   358.65s] constant. Volatility is going to change over time. It's a very, very important thing to note about this
[  358.65s ->   365.13s] latent process, this unobservable process. Moreover, when we use different time periods
[  365.13s ->   371.05s] to measure the benchmark, you can see that the subsequent volatility measure also changes. So what
[  371.05s ->   377.85s] I have here is I have two of the same time periods and one different time period. I'm querying this data
[  377.85s ->   382.17s] from Interactive Brokers, their trader workstation. I'll leave a link in the description below if you'd
[  382.17s ->   386.33s] like to get started with them. I highly recommend Interactive Brokers. I've been trading with them
[  386.33s ->   391.85s] for over 10 years in an investment, algo trading capacity. I highly recommend their API. So if you'd
[  391.85s ->   398.01s] like to get started, I'll leave a link in the description below. Nevertheless, I'm pulling the 30-day
[  398.97s ->   406.01s] realized or historic volatility directly from Interactive Brokers. That's this green path.
[  407.13s ->   412.01s] And I'm also computing it myself. And you can see there's a little bit of a discrepancy.
[  412.01s ->   417.37s] There may be a slight difference in the computation, but they certainly track very closely.
[  417.37s ->   423.21s] So in terms of a realized volatility measure, I'd say I'm doing a pretty darn good job of tracking,
[  423.21s ->   429.85s] say that green line. Okay. And that's just by simply looking backwards, computing this expectation,
[  429.85s ->   437.53s] this benchmark, and measuring deviations around it on a rolling 30-day basis. So every 30 days,
[  437.53s ->   442.89s] I'm going to take the average, then I'm going to measure deviations, and I'm going to roll that
[  442.89s ->   448.33s] forward by one day, take the new average, roll that forward, so on and so forth. You can see
[  448.97s ->   457.45s] that those paths are much smoother than the red path. The red path is going to be more volatile
[  457.45s ->   462.97s] because I'm not using as long of a period to measure the return. So the benchmark that I'm
[  462.97s ->   470.25s] using to measure deviations around is rolling at a much faster time window than the 30 days. So it's
[  470.25s ->   478.17s] capturing more of those wild swings because the benchmark isn't as smooth as the longer time
