timestamp,open,high,low,close,volume
2025-07-16 08:00:00,22884.0,22890.0,22882.0,22886.0,182
2025-07-16 08:05:00,22888.0,22891.0,22877.0,22878.0,215
2025-07-16 08:10:00,22877.0,22885.0,22874.0,22885.0,217
2025-07-16 08:15:00,22887.0,22888.0,22882.0,22885.0,118
2025-07-16 08:20:00,22887.0,22887.0,22878.0,22887.0,105
2025-07-16 08:25:00,22887.0,22888.0,22878.0,22885.0,109
2025-07-16 08:30:00,22882.0,22885.0,22875.0,22876.0,175
2025-07-16 08:35:00,22876.0,22877.0,22867.0,22870.0,284
2025-07-16 08:40:00,22870.0,22877.0,22867.0,22870.0,200
2025-07-16 08:45:00,22869.0,22882.0,22867.0,22878.0,183
2025-07-16 08:50:00,22877.0,22878.0,22874.0,22874.0,75
2025-07-16 08:55:00,22873.0,22873.0,22839.0,22847.0,1336
2025-07-16 09:00:00,22847.0,22862.0,22837.0,22857.0,466
2025-07-16 09:05:00,22858.0,22866.0,22857.0,22859.0,173
2025-07-16 09:10:00,22858.0,22859.0,22844.0,22845.0,238
2025-07-16 09:15:00,22845.0,22846.0,22822.0,22843.0,759
2025-07-16 09:20:00,22842.0,22849.0,22838.0,22847.0,208
2025-07-16 09:25:00,22848.0,22854.0,22846.0,22853.0,148
2025-07-16 09:30:00,22853.0,22861.0,22852.0,22857.0,203
2025-07-16 09:35:00,22856.0,22866.0,22856.0,22865.0,157
2025-07-16 09:40:00,22865.0,22866.0,22857.0,22859.0,97
2025-07-16 09:45:00,22858.0,22863.0,22857.0,22861.0,78
2025-07-16 09:50:00,22862.0,22868.0,22858.0,22867.0,82
2025-07-16 09:55:00,22868.0,22875.0,22867.0,22874.0,179
2025-07-16 10:00:00,22874.0,22878.0,22868.0,22876.0,163
2025-07-16 10:05:00,22877.0,22883.0,22875.0,22881.0,147
2025-07-16 10:10:00,22880.0,22885.0,22877.0,22882.0,160
2025-07-16 10:15:00,22881.0,22888.0,22879.0,22888.0,127
2025-07-16 10:20:00,22888.0,22888.0,22881.0,22884.0,51
2025-07-16 10:25:00,22884.0,22885.0,22879.0,22879.0,45
2025-07-16 10:30:00,22880.0,22889.0,22879.0,22889.0,114
2025-07-16 10:35:00,22887.0,22889.0,22879.0,22881.0,120
2025-07-16 10:40:00,22883.0,22886.0,22880.0,22880.0,36
2025-07-16 10:45:00,22882.0,22885.0,22880.0,22885.0,46
2025-07-16 10:50:00,22885.0,22888.0,22872.0,22876.0,82
2025-07-16 10:55:00,22876.0,22878.0,22860.0,22862.0,230
2025-07-16 11:00:00,22862.0,22873.0,22850.0,22872.0,192
2025-07-16 11:05:00,22872.0,22874.0,22863.0,22869.0,65
2025-07-16 11:10:00,22865.0,22871.0,22865.0,22869.0,35
2025-07-16 11:15:00,22867.0,22868.0,22863.0,22864.0,43
2025-07-16 11:20:00,22866.0,22869.0,22858.0,22858.0,73
2025-07-16 11:25:00,22859.0,22864.0,22857.0,22861.0,37
2025-07-16 11:30:00,22862.0,22867.0,22860.0,22866.0,35
2025-07-16 11:35:00,22865.0,22869.0,22861.0,22868.0,44
2025-07-16 11:40:00,22870.0,22881.0,22868.0,22880.0,85
2025-07-16 11:45:00,22879.0,22879.0,22874.0,22879.0,49
2025-07-16 11:50:00,22879.0,22884.0,22866.0,22866.0,123
2025-07-16 11:55:00,22867.0,22875.0,22862.0,22867.0,76
2025-07-16 12:00:00,22865.0,22865.0,22847.0,22849.0,450
